acc,height0622,coordinates
IL413,0.0726303245468447,"(316, 599)"
IL413,31.48369641335092,"(125, 602)"
IL416,23.04233456452512,"(897, 108)"
IL416,26.28715258257251,"(320, 109)"
IL416,25.22234367044764,"(127, 110)"
IL416,19.977614309375483,"(316, 208)"
IL416,19.307880354469063,"(901, 209)"
IL416,20.01603756241152,"(708, 210)"
IL416,25.20415362387761,"(125, 211)"
IL416,28.56906892677741,"(515, 213)"
IL416,23.373664932196625,"(313, 309)"
IL416,28.735908801477983,"(511, 310)"
IL416,24.265176990786216,"(714, 311)"
IL416,35.01961723003889,"(897, 311)"
IL416,28.042062753937905,"(124, 316)"
IL416,18.05113806058784,"(713, 419)"
IL416,20.179082179756872,"(316, 421)"
IL416,27.91521228406505,"(514, 421)"
IL416,21.943888857576987,"(121, 424)"
IL416,35.818373174527984,"(897, 424)"
IL416,24.881118173202616,"(904, 511)"
IL416,30.087828264671565,"(315, 515)"
IL416,0.0006176249927749,"(718, 517)"
IL416,27.855306183244902,"(124, 519)"
IL416,25.152947262568315,"(903, 614)"
IL416,37.24138416438945,"(126, 615)"
IL418,19.96906195161296,"(710, 51)"
IL418,37.63573629346576,"(896, 52)"
IL418,48.59855974732568,"(123, 57)"
IL418,27.096004118809432,"(706, 153)"
IL418,29.16775837459763,"(124, 156)"
IL418,28.785992936380712,"(896, 156)"
IL418,33.25155436014502,"(313, 158)"
IL418,36.03431093544711,"(507, 158)"
IL418,21.17543286818197,"(313, 270)"
IL418,38.74193788972099,"(509, 270)"
IL418,8.00416256614483,"(897, 271)"
IL418,26.98322913703696,"(709, 272)"
IL418,33.613819048360455,"(127, 275)"
IL418,30.0352982717224,"(125, 380)"
IL418,35.67226454330566,"(311, 382)"
IL418,46.94373071840624,"(512, 382)"
IL418,30.15206196553026,"(897, 384)"
IL418,14.301453063061498,"(710, 386)"
IL418,29.253183017041057,"(895, 494)"
IL418,45.389217294251054,"(125, 495)"
IL418,57.37047599859204,"(123, 602)"
IL418,20.69350764097677,"(513, 602)"
IL418,43.0021602261816,"(894, 603)"
IL419,5.504020224357996,"(899, 53)"
IL419,3.564987172459311,"(122, 56)"
IL419,33.30262235866927,"(129, 165)"
IL419,4.122791525333433,"(900, 165)"
